行政区,电子监管号,项目名称,项目位置,面积(公顷),土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格(万元),土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期
武夷山市,3507822016A00125,省道303线建阳市将口镇固县至武夷山市兴田镇南源岭段公路工程（武夷山市境内）建设项目,武夷山市兴田镇,130.706400,0.000000,公路用地,划拨,,道路运输业,十二级,0.0000,,0.00,0.00,2016年05月30日,2017年05月30日,2020年05月29日,,,武夷山市人民政府,2016年05月07日
武夷山市,3507822016A00117,闽江防洪工程南平段（一期武夷山市境内）建设项目,武夷山市兴田镇,19.054400,0.000000,水工建筑用地,划拨,,水利管理业,十二级,0.0000,,0.00,0.00,2016年05月30日,2017年05月30日,2020年05月30日,,,武夷山市人民政府,2016年05月07日
余杭区,3301102016B00795,杭州西湖房地产集团有限公司,崇贤新城向阳B-1区块商住地块,5.489900,5.461900,中低价位、中小套型普通商品住房用地,挂牌出让,商务金融用地40年; 普通商品住房用地70,房地产业,八级,58000.0000,杭州西湖房地产集团有限公司,2.00,2.50,2017年05月12日,2018年05月12日,2021年05月12日,,,杭州市余杭区,2016年05月07日
江山市,3308812016B00746,城北小学北侧地块国有建设用地使用权出让,城北小学北侧,3.403500,0.000000,中低价位、中小套型普通商品住房用地,拍卖出让,70,房地产业,十三等级,26300.0000,上海宏地置业有限公司,1.25,1.40,2017年06月06日,2017年12月05日,2019年12月05日,,,江山市,2016年05月07日
海沧区,3502052016A00307,新阳11#商住地块配套道路工程,海沧区新阳街道,1.742100,1.742100,街巷用地,划拨,,公共设施管理业,四级,0.0000,,0.00,0.00,2016年05月07日,2017年05月06日,2018年05月06日,,,厦门市人民政府,2016年05月07日
同安区,3502122016A00138,同安区白云大道（同南公路－同安东路段）道路工程（一期）,同安城区北部、西起现状同南公路、东接规划同安东路,2.226600,2.226600,公路用地,划拨,,道路运输业,七级,,,,,2016年05月07日,2017年05月07日,2020年05月07日,,,厦门市人民政府,2016年05月07日
海沧区,3502052016A00314,兴钟林安居房三期,海沧区马青路以南、兴港路以东,1.008861,0.197300,中低价位、中小套型普通商品住房用地,划拨,,国家机构,四级,9.9176,,1.00,3.76,2016年05月07日,2017年05月06日,2018年05月06日,,,厦门市人民政府,2016年05月07日
余干县,3611272016B00096,建商住楼,余干县城玉亭北大道东侧、文定路北侧B101地块,1.082518,0.000000,中低价位、中小套型普通商品住房用地,拍卖出让,中低价位、中小套型普通商品住房用地70年; 其他商服用地40年;,房地产业,十五等级,1822.0000,付平,1.00,2.00,2016年09月30日,2016年12月30日,2018年12月30日,,,余干县,2016年05月07日
楚雄市,5323012016B00272,云南电网有限责任公司楚雄供电局受让2015-G-20号用地,楚雄市苍岭镇饱满街集镇东大街南侧,0.130000,0.000000,商务金融用地,挂牌出让,40,居民服务业,未评估地区,150.8000,云南电网有限责任公司楚雄供电局,,1.50,2016年09月07日,2017年03月07日,2020年03月06日,,,楚雄市,2016年05月07日
睢宁县,3203242016B00498,睢宁金以德房地产开发有限公司建商住用地,体育场南、规划文学路东,6.006372,0.110390,中低价位、中小套型普通商品住房用地,挂牌出让,70,房地产业,三级,7710.0000,睢宁金以德房地产开发有限公司,1.00,2.95,2016年06月07日,2016年12月07日,2019年05月07日,,,睢宁县人民政府,2016年05月07日
阳泉市本级,1403002016A00021,阳泉市第一人民医院南楼改造项目,城区南大街152号,0.242790,0.242790,医卫慈善用地,划拨,,卫生,一级,0.0000,,,3.81,2016年05月31日,2016年06月30日,2018年06月30日,,,阳泉市人民政府,2016年05月07日
丹凤县,6110222016B00098,丹凤县商镇老君移民点安置房（六期）,商镇商邑大道北侧,1.301510,0.000000,其他普通商品住房用地,挂牌出让,70,建筑安装业,三级,486.7647,丹凤县建设发展有限责任公司,1.00,2.50,2016年07月23日,2017年05月06日,2020年05月06日,,,丹凤县,2016年05月07日
华宁县,5304242016B00023,HTC—（2013）—14号地块国有建设用地使用权挂牌出让,华宁县青龙镇大村村民委员会者白村小组（尾侧）,0.416000,0.000000,工业用地,挂牌出让,50,化学原料及化学制品制造业,未评估地区,37.0000,华宁吉松工贸有限公司,0.60,,2016年06月14日,2016年09月14日,2018年09月14日,,,玉溪市,2016年05月07日
邢台市本级,1305002016B00180,春蕾花园小区,富强路以南、静庵路以西、龙泉大街以北,2.770200,0.000000,其他普通商品住房用地,挂牌出让,70,房地产业,五级,4020.0000,邢台瑞基房地产开发有限责任公司,1.00,2.60,2016年05月07日,2017年05月06日,2020年05月05日,,,邢台经济开发区管理委员会,2016年05月07日
正镶白旗,1525292016B00029,盛元正镶白旗乌宁巴图风电场一期49.5MW风电项目,正镶白旗乌兰察布苏木乌兰图嘎嘎查,2.385800,0.000000,工业用地,挂牌出让,50,其它,未评估地区,143.1480,正镶白旗盛元风力发电有限公司,1.30,0.00,2016年05月16日,2016年07月01日,2017年07月01日,,,正镶白旗,2016年05月07日
